id,name,startsOn,endsOn,venue,theme,categories,description
10491600,International Scholar Reception,2024-10-17T17:00:00-04:00,2024-10-17T19:00:00-04:00,StudentLink Center,Social,"['International Students', 'Social Mixer', 'Professional Networking']","<p><span style=""font-weight: 400;"">International faculty and research scholars from across all NYU departments and centers are invited to join OGS for our Fall 2024 International Scholar Reception! This is a great opportunity to connect with fellow international scholars and enjoy food &amp; drinks.</span></p>
<p><span style=""font-weight: 400;"">Date: Thursday, October 17, 2024</span></p>
<p><span style=""font-weight: 400;"">Time: 5:00 - 7:00 PM</span></p>
<p><span style=""font-weight: 400;"">Location: 383 Lafayette St. - conference level</span></p>
<p><span style=""font-weight: 400;""><span style=""text-decoration: underline;"">Please note:</span> two drink tickets will be included for those 21 and above. Please bring your government-issued ID such as passport, state ID or driver's license.&nbsp;</span></p>
<p>&nbsp;</p>
<p><strong>To sign up, please fill out this form <a href=""https://docs.google.com/forms/d/e/1FAIpQLSdeTKKxopj4q01hnuWJeNfBW_FooTA8VWrQmEWipJyitsX-zw/viewform?usp=sf_link"">here!</a></strong></p>"
10618679,Capture The Flag (CTF) 101 Workshop,2024-10-17T18:00:00-04:00,2024-10-17T19:00:00-04:00,370 Jay St RM 1013,ThoughtfulLearning,"['Science, Engineering & Technology']","<p>Want to learn Cybersecurity but don&rsquo;t know where to start? Join Cybersecurity Club&rsquo;s CTF 101 where we will teach you different ways to begin with Capture The Flag!</p>
<p>Every week, we will discuss new CTF categories and solve challenges based on the vulnerability.</p>
<p>Join the OSIRIS&nbsp;<a href=""http://www.discord.gg/huAmT2Jbaq"">discord</a>&nbsp;for announcements!</p>"
10604135,Cube and Chill,2024-10-17T18:00:00-04:00,2024-10-17T19:00:00-04:00,Kimmel CTR 904,Social,['General Meeting'],"<p>Looking for a relaxed evening to unwind and solve some cubes? Come hang out with fellow cubers at our Cube &amp; Chill event! It&rsquo;s a casual meetup where you can bring your favorite cubes, learn new algorithms, and share solving tips. Whether you're looking to practice your speed solves, explore new puzzles, or just chat about all things cubing, this is the place to be!</p>"
10613668,1831 Fund Committee Meeting,2024-10-17T18:30:00-04:00,2024-10-17T19:00:00-04:00,Kimmel 803,Fundraising,"['Community Service, Civic Engagement & Philanthropy', 'Community']","<p>Come enjoy dinner, socialize with committee members, and contribute ideas for our upcoming fundraising events! :)</p>"
10581163,Financial Literacy Workshop,2024-10-17T18:00:00-04:00,2024-10-17T19:30:00-04:00,1st Floor Lounge Othmer Hall,ThoughtfulLearning,"['Academic', 'Professional & Career Development']","<p>Join WIBE and NYU RAs to learn more about financial literacy and time management! This workshop will help you learn about budgeting effectively and exploring smart spending habits and investment strategies. Discover how to balance, explore job opportunities, and improve your scheduling skills as a student.&nbsp;</p>"
10262767,Nav Nite,2024-10-17T18:00:00-04:00,2024-10-17T19:45:00-04:00,The HUB (Dibner Library Rm LC223),Spirituality,"['Religion & Spirituality', 'General Meeting', 'Community', 'Find Your People', 'Affirm Your Identity']","<p>&nbsp;</p>
<p>Join us for fellowship, fun, and food! Every gathering will be a fun-filled night with discussions guided by different mediums and student leaders.</p>
<p>Dinner will be served before we have open discussions about navigating spiritual life in school and try to dissect burning questions you have about the Christian faith.&nbsp;</p>
<p>We will end the night with fun games to unwind and bond after our discussions!</p>
<p>Come check out this amazing community and make lasting friendships!</p>"
10466876,Principles of Data Science Learning Group,2024-10-17T18:30:00-04:00,2024-10-17T19:45:00-04:00,"Academic Resource Center (ARC), Room LL04",ThoughtfulLearning,[],<p>ULC Learning Groups (LGs) are course specific and give you a chance to practice and test your understanding of the material from the past week's lecture(s) by working through problems in a collaborative group environment. This LG is for students taking Principles of Data Science.</p>
10485307,Computer Science Pop-Up Hours,2024-10-17T18:30:00-04:00,2024-10-17T19:45:00-04:00,"Academic Resource Center (ARC), Room LL02",ThoughtfulLearning,[],"<p>&nbsp;</p>
<div>
<p>Computer Science Learning Assistants will be present for students seeking quick clarifications, help with consolidating lecture notes, or understanding course material for the following courses:&nbsp;<strong>Basic Algorithms, Computer Systems Organization, Data Structures, Intro to Computer Science, and Intro to Computer Programming.</strong></p>
<p class=""p1"">Pop-Up Hours operate on a drop-in basis, so students do not need to register in advance or stay for the entire duration.</p>
</div>"
10559210,"Supplemental Learning Group - CHEM-UA 225, Organic Chemistry I - [Angelo Lecture ONLY]",2024-10-17T18:30:00-04:00,2024-10-17T19:45:00-04:00,Hemmerdinger 104,ThoughtfulLearning,[],"<p>Supplemental Learning Groups (SLGs) are lecture specific and give you a chance to practice and test your understanding of the material from the past week's lecture(s) in a collaborative group environment.</p>
<p>This is process-based learning, meaning if you continue to attend, your learning will compound over the course of the semester.</p>
<p>One time attendance will likely not be very helpful.</p>
<p>In order for this to be effective:</p>
<p>- You must come ready to collaborate.</p>
<p>- You must come ready to speak.</p>
<p>- You must be active. This will be a framework that you might not be used to. In this space, the primary aim is to construct knowledge, which can feel frustrating.</p>"
10474788,Organic Chemistry I Learning Group,2024-10-17T18:30:00-04:00,2024-10-17T19:45:00-04:00,"Academic Resource Center (ARC), Room LL05",ThoughtfulLearning,[],<p>ULC Learning Groups (LGs) are course specific and give you a chance to practice and test your understanding of the material from the past week's lecture(s) by working through problems in a collaborative group environment. This LG is for Orgo I students.</p>
10525422,Gajok Reveal,2024-10-17T18:00:00-04:00,2024-10-17T20:00:00-04:00,GLOBAL CENTER FOR ACADEMIC & SPIRITUAL LIFE - GLOBAL CTR GRAND HALL ROOM 573,Cultural,[],<p>Gajok Reveal for KSA Members</p>
10586428,Get Together,2024-10-17T18:00:00-04:00,2024-10-17T20:00:00-04:00,Kimmel Center Room 907,Social,"['Culture & Languages', 'Community', 'Find Your People']","<p>Join us for the Turkish Culture Association&rsquo;s kick-off event to celebrate the start of an exciting new year! Discover Turkish culture through delicious food, traditional music, and engaging activities. Whether you're new to Turkish culture or looking to reconnect with it, this event is the perfect opportunity to meet new friends and learn about our plans for the year. Everyone is welcome!</p>"
10617510,Letters for Breast Cancer,2024-10-17T18:00:00-04:00,2024-10-17T20:00:00-04:00,Kimmel Center for Student Life,CommunityService,[],"<p>Join the Pow(h)er Collective in card-making for Girls Love Mail, an organization that sends letters of support for newly-diagnosed women with breast cancer. We will be having snacks and drinks as well!</p>"
10603239,STEBA x IBA: Corporate & Product Strategy in the Gaming Industry ,2024-10-17T18:30:00-04:00,2024-10-17T20:00:00-04:00,KMC 1-70,Arts,"['Media (film, tv, music, animation, etc.)']","<p>What role does product strategy play in the gaming industry? How can managers effectively position their games to stand out amidst intense content saturation? Join us as we discuss these challenges with professionals from PlayStation, Xbox, and Samsung Games!</p>"
10617947,Unlock Your Future with GEICO X SHPE!,2024-10-17T19:00:00-04:00,2024-10-17T20:00:00-04:00,"Student Engagement Suite (2 MetroTech, 1054)",GroupBusiness,[],"<p>Are you a junior looking to take the next step in your career journey?</p>
<p>Join us for an exclusive information panel where representatives from GEICO will dive into the amazing opportunities available to you! Whether you're interested in internships, leadership programs, or professional development, this is your chance to get insider knowledge on how to stand out and succeed. Connect with industry experts, ask your questions, and discover how to launch your career in engineering and technology!</p>"
10473880,Thursday Night Small Group,2024-10-17T19:00:00-04:00,2024-10-17T20:00:00-04:00,3Stone Church,Spirituality,"['Religion & Spirituality', 'Community']","<div>
<div class=""DescriptionText"">
<p>A time to hang out and meet people interested in learning about the Bible. There will be food, games, and a bible study. Come curious and excited to enter deep discussions about the bible and life! This is a more intimate setting than our Cornerstones, but a great space to get to know friends more deeply.&nbsp;</p>
</div>
</div>
<div>&nbsp;</div>"
10601969,Distress with MexSA (Karaoke Night) ,2024-10-17T19:00:00-04:00,2024-10-17T20:00:00-04:00,Kimmel Center ,Cultural,"['Culture & Languages', 'Social Mixer', 'Find Your People']",<p>Distress with MexSA with an evening of Blind Karaoke and playing Finish the Song!&nbsp;</p>
10612499,PSS Mentor/Mentee Mixer,2024-10-17T19:00:00-04:00,2024-10-17T20:00:00-04:00,SILV_401,Social,[],"<p>Come join us on <strong>Thursday, October 17th from 7:00-8:00 pm</strong> and meet your mentor/mentee! We will have fun bonding activities and you'll get a chance to meet other psychology students. The event will take place in <strong>Silver room 401</strong>. Can't wait to see you there!</p>"
10629287,AAP X SHPE Firewall Your Future!,2024-10-17T19:00:00-04:00,2024-10-17T21:00:00-04:00,726 Student Commons,ThoughtfulLearning,[],"<p>Want to learn about how to enhance your professional image? Come to this event to structure your LinkedIn and resume, and gain insight on how to create a website and a GitHub repository! This will help you become prepared for the future! There will also be an interactive interview workshop to master the art of articulating your value!</p>"
10484926,"Aviation Speaker Series: Holger Blankenstein, Executive Vice President of Commercial & Operations at Volaris Airlines",2024-10-17T19:00:00-04:00,2024-10-17T21:00:00-04:00,Kimmel Center Room 903 ,GroupBusiness,"['Mentorship & Advising', 'Professional & Career Development', 'Business', 'Science, Engineering & Technology', 'Professional Networking', 'Leadership']","<p>Come join us for an engaging night with the Executive Vice-President of Commercial &amp; Operations for Mexican Low Cost Carrier Volaris,&nbsp;Holger Blankenstein, as he discusses the success story of Volaris, his own background in the Aviation Industry, and his insights into where the aviation industry is heading. You do not want to miss this exclusive chance to hear from and speak to this industry veteran!</p>"
10574725,Weekly Korean Drumming Practice,2024-10-17T19:00:00-04:00,2024-10-17T21:00:00-04:00,Kimmel Center for University Life Room 606,Arts,"['Performance, Music, Dance', 'Culture & Languages', 'Education']","<p>Thursday Night Meeting for Anyone Interested in Playing Korean Percussion</p>
<p>7:00PM-8:00PM: Beginner Lesson</p>
<p>8:00PM-9:00PM: Individual and Advanced Practice</p>
<p>Please RSVP if you plan to attend to help us determine how many drums to set up for the event.</p>"
10559542,NYU YDSA SocFem Meeting,2024-10-17T19:30:00-04:00,2024-10-17T21:00:00-04:00,	GLOBAL CENTER FOR ACADEMIC & SPIRITUAL LIFE - GLOBAL CTR CLASSROOM 379,CommunityService,[],<p>NYU YDSA SocFem Meeting</p>
10506183,NYDM Morale Committee Meeting,2024-10-17T20:00:00-04:00,2024-10-17T21:00:00-04:00,Kimmel Center for University Life,Social,"['Creative (Design, Aesthetic)', 'Community Service, Civic Engagement & Philanthropy', 'Community']",<p>NYDM Morale Committee will meet bi-weekly to work on crafts for events and bond with each other to bring morale to the cause that NYDM is all together working towards! It's an open community! If you want to get to know more and apply for it check out @nydmnyu on Instagram!</p>
10625127,Wednesday and Thursday Choreo and Technique practice,2024-10-17T19:30:00-04:00,2024-10-17T21:30:00-04:00,Pearl Studios,Athletics,[],"<p>Choreo and Technique practice on Wednesday 10/16 and Thursday 10/17, no coaches</p>"
10582805,Charity Week 2024 Information Session!,2024-10-17T19:00:00-04:00,2024-10-17T22:00:00-04:00,Kimmel Room 802,Spirituality,"['Religion & Spirituality', 'Community']","<p>Join us for our Charity Week 2024 Information Session! There will be free food, refreshments, and Palestine/Lebanon solidarity merch!</p>"
10582345,Encounter,2024-10-17T19:00:00-04:00,2024-10-17T22:00:00-04:00,GCASL (Global Center for Academic and Spiritual Life) Room 475,Spirituality,[],"<p>Come out for a time of fellowship with Encounter&mdash;let's grow in community and do life together!</p>
<p>&nbsp;</p>"
10496129,TBOS Daily Meal Delivery Fall ‘24,2024-10-17T21:00:00-04:00,2024-10-17T22:00:00-04:00,"Lipton, Downstein, and Third North Dining Halls",CommunityService,[],"<p>Come and join TBOS to deliver leftover food from our dining halls to nearby community fridges/pantries! We deliver food from Third North, Downstein, and Lipton at 9PM, Monday - Friday. We also deliver from the Paulson Center on Fridays at 6PM!!</p>
<p>Fill out the delivery availability form if you'd like to be a recurring volunteer throughout the semester:&nbsp;https://forms.gle/KfzDoC42yYYxJCX86</p>
<p>You can also reach out to tbosatnyu@gmail.com or jordan.chong@nyu.edu if you'd like to volunteer last minute or have any questions! Thank you for your interest and help!</p>
<p>&nbsp;</p>"
10531190,Mindfulness-Based Vinyasa Yoga with Hunt Parr,2024-10-18T09:30:00-04:00,2024-10-18T10:45:00-04:00,"238 Thompson Street (GCASL), Room 461 ",Spirituality,[],"<p>Using the principles of mindfulness, compassion, and precise attention to detail, these classes will explore dynamic movement and asana, breath work, and meditation. Taught using Hunt's creative approach to sequencing and lots of humor to ground us, expect to surprise yourself, laugh, and sweat.</p>
<p class=""p1"">This hybrid event can be attended in person or via Zoom. See the description for details.</p>"
10400620,Tandon Peer Justice Zone ,2024-10-18T11:00:00-04:00,2024-10-18T12:00:00-04:00,The Hub,Cultural,['Education'],"<div>The Tandon Peer&nbsp;Justice&nbsp;Zone&nbsp;is a DEI initiative for Tandon students and led by Tandon students! Our Belonging Builders will lead you through the&nbsp;Justice&nbsp;Zone&nbsp;session, helping you to develop an understanding of frequently used concepts&mdash;such as diversity, equity, and social&nbsp;justice&mdash;through the lens of race and racism. Throughout this two-hour session, participants reflect on their own identities and challenge their daily practices to begin a journey toward critical consciousness.&nbsp;</div>
<div>&nbsp;</div>
<div>Snacks will be provided. Students can&nbsp;<a href=""https://forms.gle/AXh9ckriw5baPwjh9"">sign up for sessions here</a>.</div>"
10500173,Weekly Prayer and Community Meeting,2024-10-18T12:00:00-04:00,2024-10-18T13:00:00-04:00,GCASL 484,Spirituality,['Religion & Spirituality'],<p>Bring your own lunch and join us as we hang out and pray together! Snacks and drinks will be provided.</p>
10577502,Race & Identity in the U.S. Workshop,2024-10-18T12:00:00-04:00,2024-10-18T13:30:00-04:00,StudentLink Center,ThoughtfulLearning,"['International Students', 'Race & Ethnicity']","<p><span style=""font-weight: 400;"">Our second&nbsp; </span><a href=""https://www.nyu.edu/students/communities-and-groups/international-students/international-student-hub/identity-and-inclusion-in-the-united-states-for-international-students.html""><span style=""font-weight: 400;"">Identity and Inclusion for International Students</span></a><span style=""font-weight: 400;""> workshop of the school year is here! </span><span style=""font-weight: 400;"">In this session, </span><strong>Race and Identity in the US</strong><span style=""font-weight: 400;"">, we will unpack aspects of our identity through the lens of racial identity in the United States. We will explore the historical context of race and racism in the U.S. as well as learn key terms and vocabulary that will help you navigate conversations on race, identity, and diversity. How do these conversations differ in the U.S. compared to your home country? What </span><em><span style=""font-weight: 400;"">is </span></em><span style=""font-weight: 400;"">racism and what are some of the different ways it might present itself in the U.S.? How have your views on your own identity changed since arriving in the U.S.?&nbsp;</span></p>
<p>&nbsp;</p>
<p><span style=""font-weight: 400;"">This workshop will be a safe space to ask questions, engage in dialogue with one another, and unpack any assumptions you may have about U.S. identities. Lunch will be provided! </span></p>"
10531399,Embodied Vinyasa Flow & Restore with Amanda Valdes,2024-10-18T12:30:00-04:00,2024-10-18T13:30:00-04:00,"238 Thompson Street (GCASL), Room 461 ",Spirituality,['Health & Wellness'],"<p>This class is a mix of Vinyasa Yoga - connecting breath and movement for the first 45 mins of class. The last 15 minutes of the class will focus on restoring the mindbody and breath . This class is open to all and will center community connection, mindful movement, accessibility for all bodies, and normalizing yoga props.&nbsp;</p>
<p class=""p1"">This hybrid event can be attended in person or via Zoom. See the description for details.</p>"
10466845,Discrete Math Learning Group,2024-10-18T12:30:00-04:00,2024-10-18T13:45:00-04:00,"Academic Resource Center (ARC), Room LL05",ThoughtfulLearning,[],<p>ULC Learning Groups (LGs) are course specific and give you a chance to practice and test your understanding of the material from the past week's lecture(s) by working through problems in a collaborative group environment. This LG is for students taking Discrete Math.</p>
10522910,Tea Time,2024-10-18T12:45:00-04:00,2024-10-18T13:45:00-04:00,Kimball Hall 2nd Floor Lounge,Social,['Social Mixer'],<p>Weekly meet for Stats Club members over tea!</p>
10329250,Jummah Prayer at Tandon,2024-10-18T12:30:00-04:00,2024-10-18T14:30:00-04:00,2 MTC 801,Spirituality,[],"<div>
<div>
<div class=""DescriptionText"">
<p>Join our weekly Friday Jummah Prayer at Tandon.&nbsp;</p>
</div>
</div>
</div>"
10574900,Academic Affairs Committee,2024-10-18T15:00:00-04:00,2024-10-18T16:00:00-04:00,Kimmel SGA Conference Room 207,GroupBusiness,"['Academic', 'Advocacy, Activism & Social Justice']","<p>The committee considers all matters concerning academically-related support services and programs provided by the university to students. After a careful review of such problems and issues, the committee makes recommendations concerning policy, services, and short/long-range plans.</p>"
10603450,LUCHA X PRA Visita El Museo De Barrio ,2024-10-18T14:30:00-04:00,2024-10-18T16:30:00-04:00,El Museo Del Barrio ,Cultural,['Community'],"<p><span style=""font-weight: 400;"">Join LUCHA and the Puerto Rico Association on October 18th for a day trip to ""El Museo Del Barrio,"" a museum dedicated to preserving and showcasing Latino, Caribbean, and Latin American culture. This trip celebrates Hispanic Heritage Month by exploring rich histories and artistic contributions from the Hispanic community. After the museum, we will provide ice cream and snacks, making it a perfect way to connect and honor our shared heritage!</span></p>"
10600192,Creative Connections: Vision Board & Game Night!,2024-10-18T15:00:00-04:00,2024-10-18T17:00:00-04:00,School of Global Public Health,Social,"['Creative (Design, Aesthetic)', 'Social Mixer', 'Community', 'Welcome - Graduate Students', 'Welcome - Undergraduate Students', 'Welcome - New Students', 'Find Your People']","<p>Kick off the semester with the Black Women&rsquo;s Health Collective! 🎊 Join us for our first event where you can connect with fellow members, share your aspirations, and set your intentions for the year. We&rsquo;ll be getting hands-on with virtual Canva mood boards, so be sure to bring your laptops or iPads. Plus, get ready for some fun as we include a game night to foster community and laughter! Together, we&rsquo;ll engage in thoughtful discussions to outline our goals and actionable next steps. Let&rsquo;s create a memorable and impactful year ahead! 💖✨ #BWHC #Intentions #Creativity #Connection #GameNight #FreshStart</p>"
10615822,First Event of the Semester! ,2024-10-18T15:30:00-04:00,2024-10-18T17:00:00-04:00," Rosenthal, Kimmel Center for University Life",ThoughtfulLearning,"['Creative (Design, Aesthetic)']","<p>Join us for our first event of the semester and get ready to crochet or knit!</p>
<p>Whether you're a beginner or more advanced, there will be opportunities to learn the basics or try out interesting patterns.</p>
<p>Yarn, needles, and hooks will be provided, and there will also be snacks available.</p>
<p>See you there! :)</p>"
10574969,Diversity Committee,2024-10-18T16:00:00-04:00,2024-10-18T17:00:00-04:00,Online,CommunityService,"['Advocacy, Activism & Social Justice', 'Dialogue & Difference']",<p>The Diversity Committee shall serve as the link of all student diversity initiatives at NYU. The Diversity Committee shall be chaired by the Director of Diversity.</p>
10574968,Diversity Committee,2024-10-11T16:00:00-04:00,2024-10-18T17:00:00-04:00,Kimmel 405/406,CommunityService,"['Advocacy, Activism & Social Justice', 'Dialogue & Difference']",<p>The Diversity Committee shall serve as the link of all student diversity initiatives at NYU. The Diversity Committee shall be chaired by the Director of Diversity.</p>
10574962,Graduate and Master's Student Issues Committee,2024-10-18T16:20:00-04:00,2024-10-18T17:20:00-04:00,194 Mercer Room 204,CommunityService,"['Advocacy, Activism & Social Justice', 'Navigate NYU']","<p>The Graduate and Master's Student Issues Committee&nbsp;investigates, review, and recommends responses concerning the most urgent matters affecting the welfare and interests of the graduate student body at NYU, including but not limited to Masters students, doctoral students, professional degree students, and other post-baccalaureate degree students.&nbsp;</p>"
10589258,ASH Doc Forum Welcome Mixer,2024-10-18T16:00:00-04:00,2024-10-18T17:30:00-04:00,Kimball Hall Basement,Social,[],"<p class=""p1"">In this event returning and new students will have the opportunity to enjoy food, conversation, and board games to jump start the 2024-2025 academic year.&nbsp;</p>"
10569453,Leslie Lohman Museum Trip,2024-10-18T15:00:00-04:00,2024-10-18T18:00:00-04:00,"LGBTQ+ Center, Kimmel 602",Arts,['LGBTQ+'],"<p>Join SHADES and Pride Month on a trip to the Leslie Lohman Museum of Art, and an ice cream social afterwards! Meet at the LGBTQ+ Center (Kimmel Room 602) BEFORE 3:00pm. RSVP REQUIRED using the Google Form Linked below, as spots are limited.</p>
<p>https://forms.gle/GyLMRsCFniodTh8J9</p>"
10476234,KNESIS Friday Dance Workshop,2024-10-18T16:00:00-04:00,2024-10-18T18:00:00-04:00,Kimmel 606,Arts,[],<p>Events fill up fast so we encourage you to RSVP and book your spot on the guest list. We hope to see you there!</p>
10574192,Vogue Femme with Luz Guzman,2024-10-18T16:00:00-04:00,2024-10-18T18:00:00-04:00,Kimmel Center,Arts,"['LGBTQ+', 'Community']","<p>Luz Guzman is coming to teach Haus of Violets members the basics of vogue femme, a queer dance style popular in underground ballroom culture!</p>
<p>Open to all, first come first serve - 15 spots available</p>"
10473266,Writing & Reading/Study Hours,2024-10-18T16:00:00-04:00,2024-10-18T18:00:00-04:00,Kimmel 703,ThoughtfulLearning,['Academic'],"<p><span data-sheets-root=""1"">Are all of your usual study spots on campus taken and you still need to do your readings for class? Join Grad Life for our Reading &amp; Writing Hours just for gradute students on October 18th. Light refreshments will be provided and a quiet space will be maintained!</span></p>
<div>&nbsp;</div>
<div><em><span style=""font-weight: 400;"">**Note on Accessibility for events hosted by the Center for Student Life (including Graduate Student Life). It is a priority to make our events INCLUSIVE &amp; ACCESSIBLE. For any questions or to notify us of a request, please email gradlife@nyu.edu at least 72 hours before the event.**</span></em></div>"
10574941,Financial Affairs Committee,2024-10-18T17:00:00-04:00,2024-10-18T18:00:00-04:00,Kimmel SGA Conference Room 207,CommunityService,"['Advocacy, Activism & Social Justice']",<p>The Financial Affairs Committee considers all matters concerning NYU affordability and the University&rsquo;s budget as it relates to student life.</p>
10588439,DDR with Boba!,2024-10-18T17:00:00-04:00,2024-10-18T18:00:00-04:00,6 Metrotech Center - RH 203,Social,[],<p>Come hang out with the members of PAS!</p>
10528903,Weekly Session - Meditation and Dharma Talk,2024-10-18T17:00:00-04:00,2024-10-18T18:00:00-04:00,Global Center for Academic and Spiritual Life (GCASL),Spirituality,[],"<p>Join us for a meditation session and dharma talks about life, relationships, meaning, religion, humanity, philosophy and more led by Master Jian Tan.&nbsp;</p>"
10574955,International Student Affairs Committee,2024-10-18T17:00:00-04:00,2024-10-18T18:00:00-04:00,Online,CommunityService,"['International Students', 'Advocacy, Activism & Social Justice']",<p>The International Student Affairs Committee considers all matters concerning NYU&rsquo;s international students in NYC and at NYU&rsquo;s global sites. The International Student Affairs committee will be chaired by an individual who is in and of this community.</p>
10620407,PUMP Mentor/Mentee Mixer,2024-10-18T17:00:00-04:00,2024-10-18T18:30:00-04:00,SILV_208,Social,[],"<p>Join us for our first event of the year to meet your mentor or mentee! We&rsquo;ve got fun bonding activities lined up, so get ready to connect, laugh, and make some great memories. We can&rsquo;t wait to see you there and get to know everyone!</p>"
